farmer_id,crop_type,farm_size_acres,annual_yield_tonnes,income_per_acre_kes,years_farming_experience,market_access_score
1,Horticulture,16.29,35.9,2000.0,7.0,51.71827609081313
2,Maize,8.19,4.0,81018.0,3.9,60.45388461160214
3,Dairy,5.64,4.9,39787.0,4.7,17.00411433396247
4,Maize,56.21,206.7,96659.0,17.4,39.36496040304702
5,Maize,4.66,6.9,150561.0,9.3,52.062909257788505
6,Tea,3.28,6.1,23567.0,5.4,53.93441442494632
7,Maize,20.14,18.9,11009.0,15.6,48.02352432640233
8,Dairy,2.59,8.5,120811.0,14.6,44.6193816331015
9,Coffee,1.78,9.5,48256.0,1.7,50.8680372656515
10,Dairy,2.21,14.3,43714.0,6.7,62.92404471170472
11,Tea,5.25,11.8,26823.0,10.1,38.066081222334425
12,Maize,1.8,11.7,54309.0,4.0,2.2324888734777986
13,Maize,0.2,4.2,106692.0,5.3,87.24186165846137
14,Maize,37.09,192.9,116805.0,21.4,44.748236330503445
15,Maize,3.22,9.8,128244.0,11.0,73.28191244907903
16,Dairy,3.88,15.4,60561.0,3.0,44.330374872231886
17,Maize,1.15,2.3,6193.0,24.6,100.0
18,Maize,1.1,2.3,15522.0,19.3,64.90085114447135
19,Dairy,1.02,16.2,49339.0,7.5,51.9245012568508
20,Horticulture,0.72,1.2,24573.0,17.3,60.14026176419077
21,Dairy,2.03,2.2,25087.0,11.3,88.4333500355439
22,Horticulture,2.13,9.8,129144.0,11.2,94.86395261469906
23,Tea,1.31,4.5,15751.0,6.4,34.46936683543085
24,Maize,3.77,7.5,72451.0,6.1,45.01396914679139
25,Tea,2.05,4.4,21293.0,13.1,4.021081097056545
26,Maize,0.97,1.2,16515.0,6.6,72.93739102550427
27,Coffee,3.31,10.3,43285.0,4.4,39.52337654889299
28,Maize,3.91,20.9,61984.0,2.5,69.84424142173424
29,Maize,1.93,4.1,159031.0,14.6,56.360448545400025
30,Maize,25.2,22.3,18371.0,12.3,40.57312312985019
31,Dairy,4.8,8.2,60944.0,7.7,12.519317496669686
32,Coffee,16.13,34.9,18960.0,9.0,41.83489743500938
33,Horticulture,43.22,178.9,66317.0,15.3,39.47197019712298
34,Tea,38.6,164.0,88749.0,18.0,72.90137167061167
35,Horticulture,33.37,152.6,85992.0,24.2,34.44620156376125
36,Tea,0.68,16.7,43148.0,3.5,83.67913695203791
37,Tea,0.2,1.7,8868.0,8.7,29.237404433908985
38,Maize,1.07,2.2,24466.0,12.6,70.65702187706381
39,Maize,3.79,10.5,143469.0,5.1,61.60152124079619
40,Tea,1.68,4.4,26531.0,1.8,100.0
41,Tea,0.82,4.6,30540.0,20.9,60.29590465400387
42,Coffee,1.86,2.4,14292.0,16.7,11.969928892968987
43,Coffee,44.47,120.1,86548.0,21.9,70.28326489193198
44,Horticulture,1.81,3.8,22126.0,7.4,46.0689063085716
45,Tea,4.95,19.8,36037.0,5.1,42.00740489073095
46,Maize,3.52,16.1,34504.0,7.8,38.41060921393047
47,Horticulture,34.27,32.9,21037.0,4.7,17.027789522550172
48,Dairy,1.22,3.3,29577.0,19.5,53.89107104415863
49,Coffee,0.95,3.5,21813.0,19.1,12.624782158336984
50,Tea,1.96,18.0,44496.0,6.0,37.92529099541403
51,Horticulture,36.79,140.1,51776.0,13.2,39.641809640239494
52,Maize,1.26,3.5,14686.0,18.4,58.891056675205
53,Horticulture,0.81,3.8,17153.0,5.7,80.35336333914341
54,Maize,4.17,9.2,50130.0,13.9,45.301014822223365
55,Horticulture,0.72,4.1,21713.0,16.3,
56,Maize,37.01,21.4,18982.0,16.6,68.90555723923583
57,Maize,7.62,8.5,97078.0,11.7,71.5328679184868
58,Dairy,6.68,7.0,73625.0,10.3,54.73056677364406
59,Tea,4.16,18.3,22369.0,11.5,70.51499283927926
60,Coffee,1.17,0.1,17132.0,20.7,80.21374793415559
61,Horticulture,2.62,5.9,124317.0,9.4,42.42917193825457
62,Coffee,1.24,0.7,16005.0,9.6,26.427028622278968
63,Coffee,21.6,27.0,22104.0,1.9,44.51609368957774
64,Dairy,1.69,2.5,16326.0,14.1,71.1750219549629
65,Maize,1.11,4.6,12554.0,16.2,25.566894393889722
66,Dairy,1.32,2.3,9083.0,21.2,51.92084365832602
67,Maize,1.56,1.3,14708.0,0.5,41.6608084001422
68,Maize,0.67,4.0,17927.0,3.7,80.2624742155061
69,Tea,2.8,11.2,59773.0,5.5,64.24343473876316
70,Horticulture,38.35,206.0,94864.0,24.8,54.86009809221152
71,Horticulture,0.87,2.4,22721.0,12.3,75.18858964296045
72,Maize,3.86,8.1,43890.0,4.1,96.80563752560698
73,Horticulture,39.88,168.1,78186.0,15.7,41.53600898737227
74,Dairy,2.04,0.1,27564.0,20.5,45.08615032530075
75,Maize,1.1,3.8,14519.0,15.7,55.75477900459307
76,Maize,49.8,218.1,72776.0,22.1,91.94341661155107
77,Maize,1.01,1.5,18588.0,16.5,55.78600222394445
78,Maize,1.49,11.7,51050.0,2.6,91.4129325470355
79,Coffee,0.7,7.5,230508.0,9.0,
